Dấu thời gian,Bạn thuộc nhóm độ tuổi nào sau đây?,Giới tính của bạn là gì?,Hiện bạn đang sinh sống làm việc/học tập tại khu vực nào?,Bạn thường nghe dòng nhạc gì?,Bạn đã biết gì về công ty SpaceSpeakers?,Bạn từng xem/nghe và cảm thấy ấn tượng nhất với sản phẩm nào do công ty SpaceSpeakers phát hành? Vì sao?,Bạn biết đến SSLabel qua phương tiện nào?,"Ngoài những sản phẩm âm nhạc, bạn còn biết đến những sản phẩm nào khác của SpaceSpeakers?",Bạn đã từng biết đến hoặc tham gia sự kiện/chương trình nào có sự góp mặt của SpaceSpeaker?,Bạn quan tâm đến nghệ sĩ nào đang trực thuộc SSLabel?,"Là một người hâm mộ, bạn có theo dõi và mong chờ những sản phẩm tiếp theo của nghệ sĩ đó không?","Nếu có, bạn mong chờ sản phẩm đó như thế nào? (Ví dụ: thể loại nhạc, nội dung MV, phong cách mới, v.v... )",Bạn đã từng trải nghiệm các loại hình xuất bản âm nhạc dưới dạng vật lý nào?,"Theo sở thích cá nhân, bạn sẽ lựa chọn định dạng xuất bản nào?",Vì sao bạn lựa chọn định dạng đó?,"Nếu nghệ sĩ mà bạn thần tượng xuất bản album mới theo các định dạng vật lý, bạn có sẵn sàng mua không?",Yếu tố ảnh hưởng: [chất lượng âm thanh] ,Yếu tố ảnh hưởng: [Giá trị sưu tầm],yếu tố ảnh hưởng: [Ủng hộ nghệ sĩ yêu thích],"Yếu tố ảnh hưởng: [Thiết kế, hình thức sản phẩm]","Bạn cảm thấy thế nào nếu SpaceSpeakers phát hành thêm album dưới dạng đĩa than, đĩa CD hoặc băng cassette?","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Có chữ ký của nghệ sĩ]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Có quà tặng kèm( poster, stickers, photobook,etc.)]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Thiết kế bìa đẹp, độc đáo, bắt mắt]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Giá thành rẻ, dễ tiếp cận]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Mã QR đi kèm video hậu trường/ behind the scenes]","Nếu SpaceSpeakers xuất bản album vật lý bản giới hạn, bạn nghĩ số lượng bao nhiêu sẽ tạo cảm giác ""đáng sưu tầm""?",Bạn sẵn lòng bỏ ra bao nhiêu tiền cho một sản phẩm?
24/05/2025 21:16:19,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Hip- hop,Có nhiều nghệ sĩ trẻ tài năng ,Rhymastic ,"Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,"Anh trai vượt ngàn chông gai, Rap Việt","Rhymastic, JustaTee",có mình mong chờ các sản phẩm của jaytee,,"Đĩa CD, ",Đĩa CD,tiện lợi,Rất sẵn lòng,3,3,3,3,Khá tò mò - sẽ cân nhắc,5,4,4,5,5,Dưới 100 bản,500k đến 1 triệu
24/05/2025 21:17:43,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Ballad, R&B",Cty âm nhạc,,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Các sản phẩm hợp tác với các brand khác","5AM Music Event, Rap Việt","Soobin Hoàng Sơn, TINLE",,,Đĩa CD,Đĩa CD,Tôi rất yêu thích,Rất sẵn lòng,1,1,1,1,Rất thú vị - sẽ mua ngay,5,5,5,5,5,100 đến 500 bản,Trên 2 triệu
24/05/2025 21:17:52,Từ 18 đến 30 tuổi,Nam,Miền Bắc,random,có binz,mấy bài của binz,"Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,School Fest 2023,Binz,,,"Đĩa than( vinyl), Đĩa CD",Đĩa CD,tiện,Chưa chắc chắn,2,3,1,2,Không cần thiết - nghe online là đủ,1,3,3,1,2,500 đến 1000 bản,500k đến 1 triệu
24/05/2025 21:17:58,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,k biết,quên rồi,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.), Các concert và event, Các sản phẩm hợp tác với các brand khác, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, Rap Việt",Touliver,có,,mạng,Băng cassette,thích,Chưa chắc chắn,3,3,3,3,Khá tò mò - sẽ cân nhắc,4,4,4,4,4,100 đến 500 bản,Trên 2 triệu
24/05/2025 21:20:59,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,R&B,Âm nhạc nghệ thuật,"Bài hát của Soobin, vì thích ảnh","Mạng xã hội( facebook, instagram, twitter,... )",Content trên các nền tảng số,Anh trai vượt ngàn chông gai,Soobin Hoàng Sơn,Coá í. Hay là ok,,Đĩa CD,Đĩa CD,Đẹp,Có thể mua thử,2,2,3,2,Khá tò mò - sẽ cân nhắc,3,3,4,3,3,Dưới 100 bản,Trên 2 triệu
24/05/2025 21:21:22,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad, R&B",ko biết nhiều,,"Mạng xã hội( facebook, instagram, twitter,... )","Các concert và event, Các sản phẩm hợp tác với các brand khác","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",,,Băng cassette,Đĩa CD,thú vị,Rất sẵn lòng,3,2,3,3,Khá tò mò - sẽ cân nhắc,4,4,4,4,4,500 đến 1000 bản,500k đến 1 triệu
24/05/2025 21:22:31,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Hip- hop,"Là công ty giải trí sản xuất, phát hành các sản phẩm âm nhạc mang dấu ấn riêng",Giàu sang của Rhymastic,"Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,ALL-ROUNDER,Rhymastic,,,"Đĩa CD, Băng cassette",Đĩa CD,Bền,Rất sẵn lòng,2,2,2,2,Rất thú vị - sẽ mua ngay,4,4,4,4,4,100 đến 500 bản,1 triệu đến 2 triệu
24/05/2025 21:25:50,Dưới 18 tuổi,Nữ,Miền Bắc,R&B,ko,,Qua các sản phẩm trên các nền tảng giải trí số,Các sản phẩm hợp tác với các brand khác,"Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",,,"Đĩa CD, Băng cassette",Đĩa CD,"vẫn hợp thời đại, vẫn dễ tìm kiếm dòng máy phát ",Rất sẵn lòng,3,3,3,3,Rất thú vị - sẽ mua ngay,3,3,3,3,3,100 đến 500 bản,1 triệu đến 2 triệu
24/05/2025 21:27:48,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad",Tôi khoing biết,.,Quảng cáo,Các concert và event,School Fest 2023,Soobin Hoàng Sơn,,,Đĩa than( vinyl),Đĩa than,.,Có thể mua thử,1,2,2,1,Khá tò mò - sẽ cân nhắc,1,2,3,4,4,Dưới 100 bản,500k đến 1 triệu
24/05/2025 21:28:12,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Pop,Chút ít,"Nến và hoa, yêu 5 vì tôi rất thích nghe nó ","Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.)",Anh trai vượt ngàn chông gai,"Soobin Hoàng Sơn, Binz, TINLE",Tôi muốn Binz và Soobin Hoàng Sơn ra sản phẩm mới.,,Băng cassette,Băng cassette,Tôi thích,Rất sẵn lòng,3,2,3,3,Rất thú vị - sẽ mua ngay,5,4,4,4,4,500 đến 1000 bản,500k đến 1 triệu
24/05/2025 21:30:47,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,biết là có soobin….,dancing in the dark,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số",Các concert và event,"Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Binz, JustaTee",,,chưa ,Đĩa than,đẹp,Có thể mua thử,2,3,2,3,Khá tò mò - sẽ cân nhắc,2,2,4,4,4,500 đến 1000 bản,500k đến 1 triệu
24/05/2025 21:31:39,Từ 18 đến 30 tuổi,Nam,Miền Bắc,Remix,Biết sơ sơ,Hip hop,"Mạng xã hội( facebook, instagram, twitter,... )","Các concert và event, ",Rap Việt,Soobin Hoàng Sơn,Có,,Đĩa CD,Đĩa CD,Dễ,Chưa chắc chắn,2,2,2,2,Khá tò mò - sẽ cân nhắc,3,3,3,3,3,Dưới 100 bản,Trên 2 triệu
24/05/2025 21:32:17,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, R&B",công ty có dàn nghệ sĩ đỉnh chóp,mình ấn tượng nhất với mv bigcityboi vì qua mv đó mình mới biết tới và tìm hiểu về công ty,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Content trên các nền tảng số","KOSMIK, ALL-ROUNDER, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz",,,Đĩa CD,Đĩa CD,vì máy nghe cd phổ biến hơn,Rất sẵn lòng,3,2,3,3,Khá tò mò - sẽ cân nhắc,5,5,5,5,3,100 đến 500 bản,500k đến 1 triệu
24/05/2025 21:34:54,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Hip- hop, Ballad",hfjdj,hrjejdjkqj,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.), Các concert và event","Anh trai vượt ngàn chông gai, SOHO FEST","Soobin Hoàng Sơn, Rhymastic",,,"Đĩa CD, Băng cassette",Đĩa CD,thích,Rất sẵn lòng,1,1,1,1,Rất thú vị - sẽ mua ngay,1,1,1,1,1,Dưới 100 bản,1 triệu đến 2 triệu
24/05/2025 21:34:55,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Pop,không,không biết,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.)",Anh trai vượt ngàn chông gai,"Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",một sản phẩm hay,,Đĩa CD,Đĩa CD,mẹ mua cho,Rất sẵn lòng,1,1,1,1,Khá tò mò - sẽ cân nhắc,1,1,1,1,1,Dưới 100 bản,500k đến 1 triệu
24/05/2025 21:36:01,Từ 18 đến 30 tuổi,Nam,Miền Bắc,Pop,Biết nhiều,Chưa xem,Quảng cáo,Content trên các nền tảng số,5AM Music Event,Soobin Hoàng Sơn,Có,,Băng cassette,Băng cassette,Mình ưa thích,Có thể mua thử,3,2,3,2,Khá tò mò - sẽ cân nhắc,3,2,3,2,3,Dưới 100 bản,500k đến 1 triệu
24/05/2025 21:37:50,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,anime,mình chưa biết,mình chưa biết,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.), Các concert và event, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, JustaTee",một sản phẩm hay,,Đĩa CD,Đĩa CD,vì nó thú vị,Rất sẵn lòng,3,3,3,3,Rất thú vị - sẽ mua ngay,4,4,4,4,4,500 đến 1000 bản,500k đến 1 triệu
24/05/2025 21:39:03,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad, R&B",Công ty giải trí ,,"Mạng xã hội( facebook, instagram, twitter,... )",Content trên các nền tảng số,"Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Rhymastic, Binz, SlimV",Có,,Đĩa CD,Đĩa CD,Phù hợp ,Có thể mua thử,1,2,2,2,Khá tò mò - sẽ cân nhắc,4,4,3,3,3,Dưới 100 bản,500k đến 1 triệu
24/05/2025 21:39:16,Từ 18 đến 30 tuổi,Nam,Miền Bắc,Ballad,Sản phẩm công ty,,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.)",ALL-ROUNDER,Soobin Hoàng Sơn,,,Đĩa CD,Đĩa CD,Đã xem,Chưa chắc chắn,1,1,1,1,Khá tò mò - sẽ cân nhắc,1,1,1,5,1,100 đến 500 bản,1 triệu đến 2 triệu
24/05/2025 21:41:47,Từ 18 đến 30 tuổi,Nam,Miền Bắc,Ballad,Có biết,Hit me up => Amazing good job!,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Các sản phẩm hợp tác với các brand khác","5AM Music Event, SOHO FEST, Rap Việt","Soobin Hoàng Sơn, Touliver, Binz, JustaTee",Rất rất mong chờ. Một sản phẩm tuyệt cú mèo,,"Đĩa than( vinyl), Đĩa CD, Băng cassette",Đĩa CD,"Đĩa CD: Âm thanh sạch, rõ, chuẩn kỹ thuật số – tiện dụng, chất lượng ổn định.",Có thể mua thử,3,3,3,3,Khá tò mò - sẽ cân nhắc,5,4,5,5,5,Dưới 100 bản,500k đến 1 triệu
24/05/2025 21:42:57,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,space speakers,ok,Quảng cáo,Content trên các nền tảng số,Rap Việt,"Soobin Hoàng Sơn, Binz",ok,,Băng cassette,Băng cassette,ok,Có thể mua thử,1,1,2,1,Không cần thiết - nghe online là đủ,4,4,4,4,4,Dưới 100 bản,500k đến 1 triệu
24/05/2025 21:48:40,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Hip- hop, Pop, Ballad",Rất nổi,Nhìu lém tui kh nhớ. Nma đa số là nhạc hay và đều rất đầu tư,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Các sản phẩm hợp tác với các brand khác","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Rhymastic, Binz, JustaTee",,,chưa từng,Đĩa than,Vì nó rất đẹpp,Có thể mua thử,3,3,3,3,Khá tò mò - sẽ cân nhắc,4,4,4,4,4,500 đến 1000 bản,500k đến 1 triệu
24/05/2025 21:50:17,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,Về âm nhạc,,"Mạng xã hội( facebook, instagram, twitter,... )","Merchandise( quần áo, phụ kiện, etc.), Các concert và event",Anh trai vượt ngàn chông gai,Soobin Hoàng Sơn,Có,,Đĩa CD,Đĩa CD,Thích,Rất sẵn lòng,1,1,1,2,Rất thú vị - sẽ mua ngay,2,1,1,1,3,100 đến 500 bản,500k đến 1 triệu
24/05/2025 21:52:35,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad, R&B","Công ty, nhà sản xuất nhạc khá nổi ở Việt Nam, có nhiều rapper, producer giỏi (soobin, rhy, touliver, binz,…)","dancing in the dark-soobin, the playah vid vocal hay, instrumental đỉnh, một số bài của rhy nữa","Mạng xã hội( facebook, instagram, twitter,... )","Các concert và event, Các sản phẩm hợp tác với các brand khác","Anh trai vượt ngàn chông gai, KOSMIK, ALL-ROUNDER, Rap Việt","Soobin Hoàng Sơn, Rhymastic, Binz, SlimV, JustaTee","Có, sản phẩm nhạc hay, MV đẹp nghệ thuật, nhạc da diết cảm xúc, kiểu ballad í hoặc pop r&b cũng hay. Mình hay để ý phần nhạc dạo, bride. Nhạc của SS thì không bao giờ lỗi thời rồi, có mấy bài cũ rất hay mình thường xuyên nghe lại.",,Đĩa CD,Đĩa CD,Nhà mình có đầu đọc đĩa CD,Chưa chắc chắn,3,2,3,3,Không cần thiết - nghe online là đủ,4,4,5,5,3,500 đến 1000 bản,500k đến 1 triệu
